sample-id,type,group,common_name
#q2:types,categorical,categorical,categorical
ATPU01,bird,Fratercula_arctica,puffin
ATPU02,bird,Fratercula_arctica,puffin
ATPU03,bird,Fratercula_arctica,puffin
ATPU56,bird,Fratercula_arctica,puffin
ATPU58,bird,Fratercula_arctica,puffin
BLKI01,bird,Rissa_tridactyla,kittiwake
BLKI02,bird,Rissa_tridactyla,kittiwake
BLKI03,bird,Rissa_tridactyla,kittiwake
BLKI04,bird,Rissa_tridactyla,kittiwake
BLKI05,bird,Rissa_tridactyla,kittiwake
COMU-42,bird,Uria_aalge,murre
COMU43,bird,Uria_aalge,murre
COMU44,bird,Uria_aalge,murre
COMU46,bird,Uria_aalge,murre
NOGA27,bird,Morus_bassanus,gannet
NOGA30,bird,Morus_bassanus,gannet
NOGA31,bird,Morus_bassanus,gannet
NOGA32,bird,Morus_bassanus,gannet
NOGA33,bird,Morus_bassanus,gannet
